sample-id;shifts;SN_Number;AZ_Number;SMILES
AZ12227950;[156.68, 149.75, 146.04, 137.88, 137.47, 133.97, 129.9, 129.75, 123.59, 122.79, 121.53, 53.02, 52.89, 23.2, 21.33];SN0013094489;AZ12227950;Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
AZ10011150;[163.44, 144.89, 134.66, 132.34, 129.35, 129.23, 129.07, 128.77, 128.62, 127.77, 126.67, 23.96];SN0013872791;AZ10011150;O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
AZ10075521;[155.34, 137.82, 126.06, 123.41, 119.39, 111.7, 56.57, 52.25, 29.9, 25.98, 25.56, 21.96, 12.1];SN0017662828;AZ10075521;[H][C@]1(N(CCC)CCC)CCc2cccc(O)c2C1
AZ10006736;[166.31, 153.71, 131.38, 116.31, 113.01, 62.37, 50.96, 47.3, 12.12];SN0029578999;AZ10006736;CCN(CC)CCOC(=O)c1ccc(N)cc1
AZ10117523;[173.53, 147.76, 145.7, 126.18, 122.09, 115.7, 113.97, 56.02, 40.75];SN1000092245;AZ10117523;COc1cc(CC(=O)O)ccc1O
