sample-id;shifts;SN_Number;AZ_Number;SMILES
AZ12227950;[[1.88, 2.92], [1.88, 3.48], [1.89, 1.9], [2.38, 2.39], [2.91, 2.92], [2.91, 3.5], [2.93, 1.89], [3.32, 3.33], [3.46, 1.89], [3.47, 3.47], [3.48, 2.92], [3.79, 6.97], [3.79, 3.8], [6.95, 3.8], [6.96, 7.74], [6.96, 6.97], [7.13, 7.3], [7.13, 7.15], [7.3, 7.15], [7.3, 7.32], [7.31, 8.62], [7.33, 7.74], [7.72, 6.97], [7.73, 7.74], [7.74, 7.33], [7.74, 6.97], [8.61, 8.63], [8.62, 7.74], [8.62, 7.33]];SN0013094489;AZ12227950;Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
AZ10011150;[[2.66, 2.51], [2.67, 2.85], [2.99, 2.51], [3.0, 2.85], [7.32, 7.19], [7.36, 7.22], [7.38, 7.34], [7.4, 7.23], [7.47, 7.31], [7.51, 7.22], [7.52, 7.36]];SN0013872791;AZ10011150;O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
AZ10075521;[[0.81, 1.39], [0.83, 0.84], [1.38, 2.42], [1.38, 1.39], [1.38, 0.84], [1.42, 2.76], [1.44, 1.87], [1.45, 1.43], [1.84, 1.87], [1.86, 1.43], [2.27, 2.75], [2.27, 2.28], [2.41, 2.42], [2.42, 1.39], [2.68, 1.86], [2.71, 2.72], [2.72, 2.28], [2.74, 2.75], [2.74, 1.45], [2.77, 2.75], [2.77, 2.67], [2.78, 2.8], [6.46, 6.47], [6.49, 6.86], [6.54, 6.86], [6.55, 6.55], [6.84, 6.47], [6.85, 6.86], [6.86, 6.57]];SN0017662828;AZ10075521;CCCN(CCC)[C@H]1CCc2cccc(O)c2C1
AZ10006736;[[0.92, 2.5], [0.94, 0.95], [2.49, 0.95], [2.5, 2.5], [2.68, 4.19], [2.68, 2.69], [4.17, 2.69], [4.18, 4.19], [6.56, 7.63], [6.57, 6.57], [7.62, 6.57], [7.64, 7.63]];SN0029578999;AZ10006736;CCN(CC)CCOC(=O)c1ccc(N)cc1
AZ10117523;[[3.43, 3.44], [3.73, 3.73], [6.63, 6.83], [6.64, 6.64], [6.68, 6.71], [6.69, 6.63], [6.8, 6.82]];SN1000092245;AZ10117523;COc1cc(CC(=O)O)ccc1O
