sample-id;shifts;SN_Number;AZ_Number;SMILES
AZ12227950;[[1.91, 0.01434336889403546], [2.37, 1.0], [2.92, 0.03110225606563105], [3.47, 0.03149397078081518], [3.78, 0.25039626386302816], [3.79, 0.2496250521469973], [6.95, 0.16883939409941204], [6.95, 0.10035655126283308], [6.96, 0.16601603353004601], [6.96, 0.23226839836186375], [6.97, 0.08366672400583809], [7.12, 0.3078264720038695], [7.14, 0.34802310110248014], [7.29, 0.2698707017465741], [7.31, 0.22851212464084095], [7.32, 0.06978053338090641], [7.32, 0.06780283379663933], [7.32, 0.07006819877792021], [7.33, 0.07909877246344686], [7.33, 0.08245317713652425], [7.33, 0.0778741359902377], [7.34, 0.07742194338668053], [7.34, 0.08450305334526001], [7.72, 0.08105206556131503], [7.72, 0.0815612570174682], [7.73, 0.13387049517029234], [7.74, 0.13220055236429692], [7.75, 0.07238589821629979], [7.75, 0.07369063113939227], [8.61, 0.11136639771549008], [8.62, 0.10953425009204083]];SN0013094489;AZ12227950;[H]/C(CN1CCCC1)=C(/c1ccc(C)cc1)c1ccccn1
AZ10011150;[[2.65, 0.2068600618967778], [2.66, 0.478270696661853], [2.68, 0.23954675117863927], [2.99, 0.3401064553544278], [3.0, 0.683416949623457], [3.01, 0.28871768075285886], [7.31, 0.048962803835451346], [7.32, 0.08930408436879997], [7.32, 0.05746941856299701], [7.32, 0.13824491496209232], [7.33, 0.12742062621075564], [7.33, 0.5162444704454882], [7.34, 0.26310690344860976], [7.34, 0.4747487507139411], [7.34, 0.1793599009740174], [7.35, 0.11560122668645145], [7.35, 0.07321109372301729], [7.36, 0.126895477769186], [7.36, 0.7569124574142497], [7.36, 0.5622336158429736], [7.37, 0.8758096620616622], [7.37, 0.39529900379981153], [7.37, 0.39741103904886915], [7.37, 0.1949751325806822], [7.38, 1.0], [7.38, 0.10308166470886969], [7.38, 0.0508386130775398], [7.39, 0.29882419722334513], [7.39, 0.2699964110733329], [7.4, 0.08453616749615847], [7.4, 0.9182780250140729], [7.41, 0.18571782843198623], [7.41, 0.39248847113162205], [7.41, 0.1040855229373257], [7.47, 0.4526826951225824], [7.47, 0.05145973355772765], [7.48, 0.21417503261144713], [7.48, 0.8575765680759129], [7.49, 0.41155672096354184], [7.49, 0.7055318354370631], [7.49, 0.12253260733979449], [7.5, 0.059608275364457], [7.51, 0.2332997060110906], [7.51, 0.7660638411740222], [7.51, 0.48679549956564316], [7.52, 0.41474257040892276], [7.52, 0.7548415102453075], [7.52, 0.12103817778782837]];SN0013872791;AZ10011150;O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
AZ10075521;[[0.82, 0.4385121316722242], [0.83, 1.0], [0.84, 0.4663614193025512], [1.34, 0.0284904318640475], [1.36, 0.118511130885111], [1.37, 0.21187752444904515], [1.37, 0.013144097162801936], [1.38, 0.04110725149338142], [1.38, 0.1938810135038049], [1.39, 0.11390715964054444], [1.4, 0.00816225213951665], [1.41, 0.009048192844845811], [1.41, 0.02798938640548525], [1.42, 0.034055321851637434], [1.43, 0.037009250498450726], [1.44, 0.03513217766760718], [1.45, 0.03578577294695711], [1.46, 0.013332079268169057], [1.47, 0.01232099362893317], [1.84, 0.021580876124404614], [1.84, 0.014664512759054033], [1.85, 0.01031224015009098], [1.85, 0.015296544976104418], [1.85, 0.02269526832240134], [1.86, 0.019635563797301057], [1.86, 0.014615473012057503], [1.87, 0.014611308500367827], [1.87, 0.02047203519815734], [2.24, 0.032071375380939834], [2.26, 0.033567024658724715], [2.27, 0.03454352701995096], [2.29, 0.03889709190761662], [2.4, 0.19992474486995268], [2.41, 0.24679286681097362], [2.42, 0.19241589648316648], [2.64, 0.009667417789421198], [2.65, 0.01031393286612041], [2.66, 0.005660312034929993], [2.67, 0.02858523405561379], [2.68, 0.018024178308560873], [2.69, 0.019065541899563686], [2.7, 0.017732887984115722], [2.71, 0.02462325031779512], [2.71, 0.028827666645076928], [2.72, 0.02521327016172785], [2.73, 0.04832746111046088], [2.73, 0.02601234669281356], [2.73, 0.021488415740454125], [2.74, 0.02571006884143066], [2.74, 0.03663138125078418], [2.75, 0.010784195227120796], [2.75, 0.015578616353568496], [2.76, 0.02699388970486028], [2.76, 0.012022537637794626], [2.77, 0.008171827635466518], [2.77, 0.004622871933616592], [2.77, 0.023601310111581054], [2.78, 0.022853921988584994], [2.78, 0.022052896210004266], [2.79, 0.01676656857339881], [2.79, 0.018175136732384654], [2.8, 0.010848182036189582], [2.8, 0.0105721347244915], [2.81, 0.008417080922697617], [2.81, 0.00877712756409067], [6.48, 0.09345265670094384], [6.49, 0.10104744513019548], [6.54, 0.09999667120899866], [6.55, 0.10930394270712285], [6.83, 0.07263818498225341], [6.85, 0.1278923310964768], [6.86, 0.06421874052346772], [9.29, 0.027592366757860923]];SN0017662828;AZ10075521;[H][C@]1(N(CCC)CCC)CCc2cccc(O)c2C1
AZ10006736;[[0.92, 0.4863707330404429], [0.93, 1.0], [0.95, 0.4809245821042236], [2.48, 0.1434795805393753], [2.49, 0.45145180786491973], [2.5, 0.47265858939452715], [2.51, 0.1320328596245878], [2.67, 0.11299865569593717], [2.68, 0.2637465171292184], [2.69, 0.11699859520572088], [4.16, 0.1254458642149847], [4.17, 0.28156184130038464], [4.18, 0.12311155477649424], [6.55, 0.273148913425676], [6.57, 0.27165434562510876], [7.61, 0.2554538866699232], [7.62, 0.24029649590247656]];SN0029578999;AZ10006736;CCN(CC)CCOC(=O)c1ccc(N)cc1
AZ10117523;[[3.43, 0.29608819896726907], [3.74, 1.0], [6.63, 0.05943857002866019], [6.64, 0.06025170897419355], [6.65, 0.09178307691107426], [6.65, 0.09035284180242482], [6.7, 0.23046079139197853], [6.71, 0.14970124940397195], [6.81, 0.14427286099451736], [6.81, 0.15153848476118614]];SN1000092245;AZ10117523;COc1cc(CC(=O)O)ccc1O
